candidate,family,split,cost_bps,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
reserve_decline_w90_q70_hold7_ma100,reserve_decline,validation,15.0,3.5387056989655106,0.4592193982886772,1.3502895121218221,-0.3611078825160221,1.271695857451414,3.2153743493363596,0.4325246964842453,1.2918031779772983,6.4955509924709105,26,0.2737850787132101,1461
reserve_decline_w90_q70_hold7_ma100,reserve_decline,development,30.0,7.555510216778137,0.5358438919357742,1.347986097232617,-0.3641461567121963,1.4715077505521488,7.120795364381621,0.5199177468246785,1.3196881508777527,6.396495071193867,32,0.2864184008762322,1826
reserve_decline_w90_q70_hold7_ma100,reserve_decline,validation,30.0,3.365711931428213,0.44512111103503393,1.3198775539444296,-0.3715246826928503,1.1980929713976172,3.054700716160305,0.4186839963991944,1.261383480170372,6.4955509924709105,26,0.2737850787132101,1461
reserve_decline_w90_q70_hold7_ma200,reserve_decline,development,15.0,9.916670056897326,0.6125171262349984,1.5244445247748297,-0.3204269961522829,1.9115652975253676,9.361826027097974,0.5957911033173202,1.4949982966873856,5.197152245345016,26,0.29572836801752467,1826
reserve_decline_w90_q70_hold7_ma200,reserve_decline,validation,15.0,3.9333871100917994,0.4899362639271727,1.4368042811082244,-0.30731252853917956,1.594260625351336,3.581943077062671,0.46267994382294453,1.3772112139650865,2.4982888432580426,10,0.2655715263518138,1461
reserve_decline_w90_q70_hold7_ma200,reserve_decline,development,30.0,9.49902674849815,0.5999925592443636,1.5023457707286454,-0.32452482309140707,1.8488341000508521,8.965402503615362,0.5833962233746499,1.4729034476986862,5.197152245345016,26,0.29572836801752467,1826
reserve_decline_w90_q70_hold7_ma200,reserve_decline,validation,30.0,3.860017217942959,0.4843692790336278,1.4247735423930943,-0.30731252853918,1.5761455653503382,3.5137982054455685,0.45721466250257903,1.3651829434368046,2.4982888432580426,10,0.2655715263518138,1461
reserve_decline_w90_q70_hold30_ma100,reserve_decline,development,15.0,12.801196517034766,0.6898902257012614,1.4130792710994424,-0.3573801585320586,1.9304099828456902,12.100189260395707,0.6723729703875791,1.389378013848353,7.595837897042716,38,0.3652792990142388,1826
reserve_decline_w90_q70_hold30_ma100,reserve_decline,validation,15.0,3.789726318984198,0.47897646428454244,1.2825095842161998,-0.44192647480157465,1.0838374516928484,3.4485524689192824,0.4519235815401148,1.2301777725004261,6.995208761122519,28,0.3059548254620123,1461
reserve_decline_w90_q70_hold30_ma100,reserve_decline,development,30.0,12.035558585196103,0.6707204561256375,1.3869541050901308,-0.3641461567121963,1.84189903906014,11.373430616011888,0.653401647717851,1.3632571808214116,7.595837897042716,38,0.3652792990142388,1826
reserve_decline_w90_q70_hold30_ma100,reserve_decline,validation,30.0,3.592968944030262,0.46355848757404217,1.2529358421527477,-0.45112467402946266,1.0275618122004284,3.2658037499829735,0.4367870828305018,1.2006045356801829,6.995208761122519,28,0.3059548254620123,1461
reserve_decline_w90_q70_hold30_ma200,reserve_decline,development,15.0,19.899708972411933,0.8360455616148081,1.6281236194724815,-0.33969927462006066,2.461134374072155,18.83795346660146,0.8170097590154517,1.603868389645396,3.1982475355969333,16,0.3882803943044907,1826
reserve_decline_w90_q70_hold30_ma200,reserve_decline,validation,15.0,4.585307163600359,0.5368586791434851,1.4105964481387683,-0.33667934230659535,1.5945697038180542,4.187534206642693,0.5087521512337572,1.357292073896869,2.9979466119096507,12,0.30321697467488024,1461
reserve_decline_w90_q70_hold30_ma200,reserve_decline,development,30.0,19.402785071195105,0.8272351536489493,1.616797670478935,-0.33969927462006033,2.4351984695115343,18.36626515419906,0.8082905214884626,1.592545509294151,3.1982475355969333,16,0.3882803943044907,1826
reserve_decline_w90_q70_hold30_ma200,reserve_decline,validation,30.0,4.485656484805487,0.5299620500121311,1.3975898597723695,-0.3396722473661635,1.5602159261508255,4.094978546169018,0.5019815114009727,1.3442903091760767,2.9979466119096507,12,0.30321697467488024,1461
dual_accumulation_w30_q50_hold7_ma100,dual_accumulation,development,15.0,14.676764441424671,0.7334861305812213,1.5111408028136042,-0.3573801585320586,2.0523974626739783,13.880328574896252,0.7155132198376923,1.4864541446228365,10.79408543263965,54,0.380065717415115,1826
dual_accumulation_w30_q50_hold7_ma100,dual_accumulation,validation,15.0,1.787018500874756,0.29184019269729333,0.920637922841686,-0.30815308748652714,0.9470623678565381,1.5885022931608836,0.2682108354605446,0.8664860071742492,13.490759753593428,54,0.35592060232717315,1461
dual_accumulation_w30_q50_hold7_ma100,dual_accumulation,development,30.0,13.454129645920439,0.7055770216836736,1.4723395275806674,-0.3641461567121963,1.9376203996059966,12.719782342443482,0.6878928433439302,1.4476615586189043,10.79408543263965,54,0.380065717415115,1826
dual_accumulation_w30_q50_hold7_ma100,dual_accumulation,validation,30.0,1.57065812266851,0.2660210178205973,0.8616291918192934,-0.3173917349228862,0.8381472752755519,1.3875435254624877,0.24286269017619855,0.8074617963637638,13.490759753593428,54,0.35592060232717315,1461
dual_accumulation_w30_q50_hold7_ma200,dual_accumulation,development,15.0,20.529118774490154,0.8469674668177725,1.6801821220744382,-0.3204269961522829,2.6432462838282555,19.435147404586452,0.8278141308957885,1.655089270508024,5.99671412924425,30,0.3849945235487404,1826
dual_accumulation_w30_q50_hold7_ma200,dual_accumulation,validation,15.0,1.7806141217245712,0.2910979203306925,0.9396213317909402,-0.3495339738611697,0.8328172426704157,1.5825795843313277,0.26748526599524136,0.8835869686321289,9.99315537303217,40,0.33607118412046544,1461
dual_accumulation_w30_q50_hold7_ma200,dual_accumulation,development,30.0,19.57712415325126,0.8303455252941441,1.6580294708093848,-0.32452482309140707,2.5586502671330797,18.531504997145145,0.8113641530471192,1.6329456987993898,5.99671412924425,30,0.3849945235487404,1826
dual_accumulation_w30_q50_hold7_ma200,dual_accumulation,validation,30.0,1.618559217969744,0.2718739223161668,0.8940141479429342,-0.3630514328415114,0.748857868947875,1.4320578925150573,0.24861178867416944,0.8379887759231869,9.99315537303217,40,0.33607118412046544,1461
dual_accumulation_w30_q50_hold30_ma100,dual_accumulation,development,15.0,24.402977791731313,0.90907526209467,1.5423379566107736,-0.3573801585320586,2.5437205742722337,23.112887423210687,0.8892892232206937,1.5214915765560506,11.193866374589266,56,0.46823658269441404,1826
dual_accumulation_w30_q50_hold30_ma100,dual_accumulation,validation,15.0,2.3305842551696325,0.35064338136894446,0.9467976450584767,-0.4498529580159054,0.7794622111977906,2.093278370974546,0.3259307203262862,0.900935297977882,13.240930869267624,53,0.48323066392881586,1461
dual_accumulation_w30_q50_hold30_ma100,dual_accumulation,development,30.0,22.35253076387442,0.8772275458625032,1.508403700768643,-0.3641461567121963,2.408998501543494,21.166526881699887,0.8577708212352118,1.4875623886518508,11.193866374589266,56,0.46823658269441404,1826
dual_accumulation_w30_q50_hold30_ma100,dual_accumulation,validation,30.0,2.0758470296688336,0.32406005841748264,0.8974153151964174,-0.46891133121505024,0.6910902698336874,1.8566792045713094,0.29983241547223805,0.851563292433046,13.240930869267624,53,0.48323066392881586,1461
dual_accumulation_w30_q50_hold30_ma200,dual_accumulation,development,15.0,39.05126320177241,1.0909695607600622,1.726311149308455,-0.35931058215208544,3.0362856396427738,37.016819087354925,1.069293540284309,1.7054055863054574,4.7973713033953995,24,0.48630887185104055,1826
dual_accumulation_w30_q50_hold30_ma200,dual_accumulation,validation,15.0,1.0884974179465465,0.2019980332717386,0.6590041230892079,-0.6417769334119288,0.31474804212398333,0.9397398304534756,0.18001256965082213,0.6130699404094484,9.243668720054757,37,0.4702258726899384,1461
