strategy,prior_peak,trough,recovered,completed,depth,peak_to_trough_days,trough_to_recovery_days,underwater_days,within_20d
credit_canary_equity_allocation,2021-04-26,2021-04-28,2021-04-29,True,-0.0023015576418207173,2,1,2,True
credit_canary_equity_allocation,2021-04-29,2021-05-12,2021-06-04,True,-0.04331733368737656,9,16,24,True
credit_canary_equity_allocation,2021-06-08,2021-06-09,2021-06-10,True,-0.0010595678832218125,1,1,1,True
credit_canary_equity_allocation,2021-06-14,2021-06-18,2021-06-22,True,-0.017206044870865855,4,2,5,True
credit_canary_equity_allocation,2021-06-22,2021-06-23,2021-06-24,True,-0.0007804770995104571,1,1,1,True
credit_canary_equity_allocation,2021-07-02,2021-07-06,2021-07-07,True,-0.0002874007267795742,1,1,1,True
credit_canary_equity_allocation,2021-07-07,2021-07-08,2021-07-09,True,-0.0076214378842787145,1,1,1,True
credit_canary_equity_allocation,2021-07-12,2021-07-19,2021-07-23,True,-0.02612714767768154,5,4,8,True
credit_canary_equity_allocation,2021-07-26,2021-08-02,2021-08-05,True,-0.00847263801764675,5,3,7,True
credit_canary_equity_allocation,2021-08-06,2021-08-10,2021-08-11,True,-0.0004977816653275458,2,1,2,True
credit_canary_equity_allocation,2021-08-16,2021-08-18,2021-08-23,True,-0.017658204263522492,2,3,4,True
credit_canary_equity_allocation,2021-08-25,2021-08-26,2021-08-27,True,-0.0060150361957406195,1,1,1,True
credit_canary_equity_allocation,2021-08-30,2021-08-31,2021-09-02,True,-0.00131498120486373,1,2,2,True
credit_canary_equity_allocation,2021-09-03,2021-10-04,2021-10-21,True,-0.05692346313323793,20,13,32,True
credit_canary_equity_allocation,2021-10-21,2021-10-22,2021-10-25,True,-0.0028750207538990047,1,1,1,True
credit_canary_equity_allocation,2021-10-26,2021-10-27,2021-10-28,True,-0.0027396691278318563,1,1,1,True
credit_canary_equity_allocation,2021-11-08,2021-11-10,2021-11-16,True,-0.013862691775877067,2,4,5,True
credit_canary_equity_allocation,2021-11-16,2021-11-17,2021-11-18,True,-0.0016879880055260532,1,1,1,True
credit_canary_equity_allocation,2021-11-19,2021-11-26,2021-12-15,True,-0.023820601739961922,4,13,16,True
credit_canary_equity_allocation,2021-12-15,2021-12-31,,False,-0.04042427529923687,11,0,11,False
QQQ_vol_target_12,2007-01-04,2007-01-05,2007-01-09,True,-0.0044710277328913195,1,2,2,True
QQQ_vol_target_12,2007-01-12,2007-01-26,2007-02-22,True,-0.03656897164638251,9,18,26,True
QQQ_vol_target_12,2007-02-22,2007-03-05,2007-04-25,True,-0.06665139573368173,7,36,42,False
QQQ_vol_target_12,2007-04-27,2007-05-01,2007-05-03,True,-0.01103291784322813,2,2,3,True
QQQ_vol_target_12,2007-05-04,2007-05-07,2007-05-08,True,-1.8008215005194117e-05,1,1,1,True
QQQ_vol_target_12,2007-05-09,2007-05-15,2007-05-21,True,-0.012475797167759928,4,4,7,True
QQQ_vol_target_12,2007-05-22,2007-05-24,2007-05-30,True,-0.015067027850435122,2,3,4,True
QQQ_vol_target_12,2007-06-04,2007-06-07,2007-06-15,True,-0.02525472522276806,3,6,8,True
QQQ_vol_target_12,2007-06-18,2007-06-26,2007-07-02,True,-0.019871921254921765,6,4,9,True
QQQ_vol_target_12,2007-07-09,2007-07-10,2007-07-12,True,-0.008386144501106085,1,2,2,True
QQQ_vol_target_12,2007-07-13,2007-07-16,2007-07-17,True,-0.001001617970839086,1,1,1,True
QQQ_vol_target_12,2007-07-17,2007-07-18,2007-07-19,True,-0.001194594092102319,1,1,1,True
QQQ_vol_target_12,2007-07-19,2007-08-16,2007-09-26,True,-0.08537198890024644,20,28,47,False
QQQ_vol_target_12,2007-09-27,2007-09-28,2007-10-01,True,-0.002518902465361239,1,1,1,True
QQQ_vol_target_12,2007-10-02,2007-10-03,2007-10-05,True,-0.004521850205665423,1,2,2,True
QQQ_vol_target_12,2007-10-10,2007-10-11,2007-10-17,True,-0.00998019756834756,1,4,4,True
QQQ_vol_target_12,2007-10-18,2007-10-19,2007-10-23,True,-0.014646870952599533,1,2,2,True
QQQ_vol_target_12,2007-10-23,2007-10-25,2007-10-29,True,-0.01203500398855517,2,2,3,True
QQQ_vol_target_12,2007-10-31,2009-03-09,2009-11-17,True,-0.21718698362133437,339,177,515,False
QQQ_vol_target_12,2009-11-17,2009-11-20,2009-12-21,True,-0.018398088181745376,3,20,22,True
QQQ_vol_target_12,2009-12-28,2009-12-31,2010-01-04,True,-0.00749800117775723,3,1,3,True
QQQ_vol_target_12,2010-01-05,2010-01-06,2010-01-08,True,-0.004643837965876307,1,2,2,True
QQQ_vol_target_12,2010-01-08,2010-01-12,2010-01-19,True,-0.012575052252897456,2,4,5,True
QQQ_vol_target_12,2010-01-19,2010-02-04,2010-03-09,True,-0.06157370864397371,12,22,33,False
QQQ_vol_target_12,2010-03-12,2010-03-15,2010-03-16,True,-0.0017249569879640436,1,1,1,True
QQQ_vol_target_12,2010-03-18,2010-03-19,2010-03-22,True,-0.004581879137258937,1,1,1,True
QQQ_vol_target_12,2010-03-23,2010-03-25,2010-03-30,True,-0.004846796226999683,2,3,4,True
QQQ_vol_target_12,2010-03-30,2010-04-01,2010-04-05,True,-0.003478445428755861,2,1,2,True
QQQ_vol_target_12,2010-04-06,2010-04-07,2010-04-08,True,-0.0014724137255613945,1,1,1,True
QQQ_vol_target_12,2010-04-15,2010-04-19,2010-04-22,True,-0.009562512739417328,2,3,4,True
QQQ_vol_target_12,2010-04-23,2010-07-02,2010-10-15,True,-0.10429284650228055,49,73,121,False
QQQ_vol_target_12,2010-10-15,2010-10-19,2010-10-22,True,-0.00857508721153355,2,3,4,True
QQQ_vol_target_12,2010-10-28,2010-10-29,2010-11-02,True,-0.0015766273640825945,1,2,2,True
QQQ_vol_target_12,2010-11-04,2010-11-05,2010-11-08,True,-0.00021212449190455285,1,1,1,True
QQQ_vol_target_12,2010-11-08,2010-11-16,2010-12-02,True,-0.03286721868011888,6,11,16,True
QQQ_vol_target_12,2010-12-03,2010-12-06,2010-12-08,True,-0.00020386334860156285,1,2,2,True
QQQ_vol_target_12,2010-12-10,2010-12-15,2010-12-16,True,-0.005109900912997012,3,1,3,True
QQQ_vol_target_12,2010-12-21,2010-12-31,2011-01-03,True,-0.006897937039728963,7,1,7,True
QQQ_vol_target_12,2011-01-03,2011-01-04,2011-01-05,True,-0.0006743994191318325,1,1,1,True
QQQ_vol_target_12,2011-01-06,2011-01-07,2011-01-10,True,-0.0006629826601662892,1,1,1,True
QQQ_vol_target_12,2011-01-18,2011-01-21,2011-01-27,True,-0.02589220772673817,3,4,6,True
QQQ_vol_target_12,2011-01-27,2011-01-28,2011-02-04,True,-0.025229974997811655,1,5,5,True
QQQ_vol_target_12,2011-02-08,2011-02-09,2011-02-11,True,-0.0014391267097330074,1,2,2,True
QQQ_vol_target_12,2011-02-14,2011-02-15,2011-02-16,True,-0.0011558897754617714,1,1,1,True
QQQ_vol_target_12,2011-02-16,2011-03-16,2011-04-27,True,-0.06999725532849044,19,29,47,False
QQQ_vol_target_12,2011-04-27,2011-05-05,2011-05-10,True,-0.012186185751391077,6,3,8,True
QQQ_vol_target_12,2011-05-10,2011-06-17,2011-07-07,True,-0.0741216459805426,27,13,39,True
QQQ_vol_target_12,2011-07-07,2011-07-14,2011-07-22,True,-0.027294009323064472,5,6,10,True
