asset,start_day,length,n_quarters,earnings_mean,earnings_t,earnings_win_rate,placebo_mean,difference_mean,difference_t,difference_p,dev_difference,dev_difference_t,val_difference,val_difference_t,earnings_excess_mean,placebo_excess_mean,excess_difference_mean,excess_difference_t,excess_difference_p,dev_excess_difference,dev_excess_difference_t,val_excess_difference,val_excess_difference_t,both_subperiods_positive,both_subperiods_excess_positive,difference_q,excess_difference_q
SPY,10,5,72,0.003205465477920979,1.3470815716780675,0.6388888888888888,0.0004119146453648866,0.0027935508325560923,0.8701040635407277,0.38717579003967384,0.0012715068886568729,0.2615757992127133,0.004315594776455312,1.0155194131117546,0.0,0.0,0.0,,,0.0,,0.0,,True,False,0.9599562682632208,1.0
XLB,10,5,72,0.001898257026548133,0.5390690016240213,0.5833333333333334,-0.0007973603469914788,0.0026956173735396115,0.6247303350012472,0.5341506309041255,0.00016889506880137425,0.026203450833747026,0.005222339678277849,0.9005916146656643,-0.001307208451372846,-0.0012092749923563655,-9.793345901648059e-05,-0.0391951779573486,0.9688447819870019,-0.0011026118198554985,-0.30058422616895275,0.0009067449018225373,0.26379193192569933,True,False,0.9599562682632208,1.0
XLK,13,8,72,0.0032909379261498607,0.9794523223592556,0.5972222222222222,0.0006432337455053966,0.0026477041806444637,0.7036224380957329,0.4839690959552693,0.0004412976252547024,0.09076766545620003,0.004854110736034225,0.8382497370383529,-0.00089959474911214,0.0016253277988419006,-0.0025249225479540404,-1.3368328990837868,0.18554503112277598,-0.003411612334324305,-1.7350867319338548,-0.0016382327615837762,-0.5040821454108406,True,False,0.9599562682632208,1.0
XLV,4,5,72,0.0023002409889021328,0.6226706676749547,0.6388888888888888,-0.000260880657626052,0.0025611216465281847,0.6776674441752446,0.50018498950537,0.0026893988415113918,0.45862568136783427,0.0024328444515449776,0.5012041058468177,0.00041763496550729917,-0.0007909090398194896,0.001208544005326789,0.5570546441030899,0.5792419581694255,0.004804939379256926,1.286980962842349,-0.002387851368603348,-1.1360125387461413,True,False,0.9599562682632208,1.0
QQQ,4,3,72,0.002460436401506642,0.860930390072526,0.5972222222222222,-6.610247870159995e-05,0.0025265388802082423,0.7951020399991143,0.429204158089608,0.0004972492118725987,0.10127931617237429,0.004555828548543885,1.1173098022289243,0.0012535859185332048,-0.0010844432769564884,0.002338029195489693,1.7938612323647658,0.07709309494818033,0.003082295223521276,1.6248368180781823,0.0015937631674581103,0.8824682279971632,True,True,0.9599562682632208,1.0
XLY,1,3,72,0.005466658892840455,1.8522136887326965,0.6666666666666666,0.003000222197790605,0.0024664366950498504,0.7613528655198928,0.4489678009531837,0.0034397289179173684,0.691108848810265,0.0014931444721823321,0.3543825333654555,0.0012370163597756503,0.00038023084259070853,0.0008567855171849418,0.661127869860924,0.5106700264722126,0.0005089831838108461,0.2703923340037555,0.0012045878505590375,0.6667944358574205,True,True,0.9599562682632208,1.0
XLP,10,8,72,0.0035342893458874536,1.603232958976442,0.6111111111111112,0.0010824411676413031,0.0024518481782461504,0.8101777405777333,0.42054524246989894,0.0005897826612195776,0.1498375737755547,0.004313913695272723,0.9310958360011048,-0.002104644273828759,0.0003583379822142006,-0.0024629822560429592,-1.0609596657866736,0.29230398655228557,-0.0038224672045712466,-1.2866212452228214,-0.0011034973075146723,-0.3068501709216809,True,False,0.9599562682632208,1.0
XLP,7,5,72,0.004709578028586466,2.7501138103934313,0.6388888888888888,0.002556261369719073,0.0021533166588673935,0.9527323545852202,0.34395800883711863,0.0005276345572111991,0.16969590407083113,0.003778998760523588,1.1442974464201736,0.002052345909325714,0.0012579327206145737,0.00079441318871114,0.4325420683796958,0.666658482505508,0.0014118463484346475,0.5430959864461361,0.0001769800289876327,0.0673481649800738,True,True,0.9599562682632208,1.0
SPY,1,3,72,0.004229642533064805,1.9283387283920213,0.6666666666666666,0.0026199913551998963,0.0016096511778649085,0.6317261206447785,0.5295946823447628,0.0029307457341065223,0.7727594870358292,0.0002885566216232945,0.08379886487447373,0.0,0.0,0.0,,,0.0,,0.0,,True,False,0.9599562682632208,1.0
XLP,10,5,72,0.0031295827781354906,1.7873830535109705,0.6388888888888888,0.0015362001622513581,0.0015933826158841327,0.6438740057182691,0.5217316793651857,0.00031772164862063943,0.10235831399473949,0.002869043583147626,0.7378815283072944,-7.588269978548816e-05,0.0011242855168864714,-0.0012001682166719596,-0.6011569943938462,0.5496499533801966,-0.0009537852400362334,-0.35269195480042365,-0.0014465511933076857,-0.4861434657070504,True,False,0.9599562682632208,1.0
