offset,ExcessCAGR,ExcessSharpe,MaxDD
171,0.09685987799627949,0.5339089857909074,-0.1365395644263161
172,0.1007036831496726,0.5290982587238928,-0.170888550096144
173,0.08775377077600988,0.47876272893363164,-0.17088855009614323
174,0.05041812279833424,0.32857634600511604,-0.16426640230501344
175,-0.04200816493394843,-0.05911980974302844,-0.17159078378572534
176,-0.1292041404944022,-0.4797990826048781,-0.18264513570346674
177,-0.15340603757761484,-0.6065725599720299,-0.18674750139135032
178,-0.20840584511725124,-0.9357454864800044,-0.1920575236847294
179,-0.16815055047742744,-0.7371585656451106,-0.19797096858823082
180,-0.12462651857864271,-0.4942807130352878,-0.18685005898275764
181,-0.1264306853213122,-0.5049827986251942,-0.1873573261962348
182,-0.09160366072166837,-0.3276767394388981,-0.17823956590810752
183,-0.12845783005149147,-0.5412013225866018,-0.17233249763804537
184,-0.10544425013398184,-0.42820808735164567,-0.15632881196319026
185,-0.11965189572769175,-0.5053398080405099,-0.15632881196319026
186,-0.1225107223444325,-0.5265244646501984,-0.1564539961278355
187,-0.11140111201114056,-0.46487452803518187,-0.15632881196319026
188,-0.09032806183491104,-0.3785697438003843,-0.17815489497670156
189,-0.09332377973483186,-0.40309866318794396,-0.1755355054846902
190,-0.1328261578496357,-0.6458005445930245,-0.20739268433718994
191,-0.21571649052250907,-1.2326697727845766,-0.22066294079522597
192,-0.23992519369458432,-1.3929723926088047,-0.23069978324250595
193,-0.20655310724662757,-1.1694239226391359,-0.23630123552244597
194,-0.134087516121965,-0.7014864134044244,-0.19899957577913485
195,-0.07065433522971964,-0.2951771101402714,-0.19788626110779894
196,-0.059371031352224435,-0.23277447853388603,-0.1764132640088153
197,0.06131970041163903,0.411597337080746,-0.17088855009614312
198,0.09241875236597408,0.5654105939443625,-0.17088855009614268
199,0.16646905812107682,0.9151434915248383,-0.1708885500961438
200,0.16929184821643184,0.9113521957792742,-0.17088855009614312
201,0.07830261889404011,0.4806264999958392,-0.17815489497670223
202,0.07351621184534585,0.4582964061116,-0.17815489497670223
203,0.07884094901038474,0.47287453304025545,-0.17815489497670212
204,0.014617227613038963,0.17299753814469998,-0.1781548949767019
205,0.044358707681367404,0.30957251055985613,-0.17815489497670134
206,0.08192978205126389,0.4772970403438036,-0.17815489497670178
207,0.07646834209917586,0.4552244987188909,-0.178154894976702
208,0.073660484957349,0.4396115921603135,-0.17815489497670134
209,0.1312978797086548,0.6776276962183259,-0.178154894976702
210,0.1160545242806752,0.6134768936529784,-0.17815489497670223
211,0.17988985615209074,0.8575768216611312,-0.17815489497670167
212,0.11513495397974616,0.607494047703693,-0.17815489497670267
213,0.06131801214367116,0.37696637970613406,-0.17815489497670223
214,0.06137478074660696,0.3763400405822439,-0.178154894976702
215,0.11576209998050824,0.5982457840953588,-0.17815489497670123
216,0.10370770501881932,0.5543968610027851,-0.17815489497670145
217,0.06277125398151706,0.38321728379337083,-0.17815489497670223
218,0.006593896983097425,0.139210743517629,-0.17815489497670145
219,0.04972099234770977,0.33024853609733607,-0.17815489497670156
220,0.08494689051805482,0.4763724624370663,-0.17815489497670212
221,0.0829171484853275,0.46859699377008135,-0.17815489497670212
222,0.0015441953003934028,0.11901015370107657,-0.17815489497670167
223,-0.02926772389652077,-0.012079172230888715,-0.178154894976702
224,0.007141182567600879,0.1473915017632057,-0.17815489497670212
225,-0.012453184403295903,0.06352718111921991,-0.17815489497670178
226,-0.07625492886772134,-0.22806414174437473,-0.17815489497670134
227,-0.12085181294412639,-0.4544046214757755,-0.20074382294626014
228,-0.14352793242805906,-0.571205938145078,-0.22135690210441228
229,-0.05415137620674104,-0.12391253198396401,-0.178154894976702
230,-0.05863075872666035,-0.13909276792523742,-0.17815489497670123
231,-0.07316687510370012,-0.20319850359449465,-0.178154894976702
232,-0.11629175778925482,-0.4023868945239818,-0.20751988003119415
233,-0.10606521159271465,-0.3556737185586186,-0.1979966675783239
234,-0.07318128508654598,-0.2031410591075474,-0.18307701748044758
235,-0.13085561071347107,-0.4798438321534933,-0.22729817523225526
236,-0.13185382494732867,-0.4767070556300242,-0.2107447392495313
237,-0.05429008116722234,-0.11798510198274761,-0.16528443276150662
238,-0.0005094022232891016,0.11529858591135796,-0.16479962008398552
239,0.025980423562058652,0.2261660874315235,-0.14983227952846023
240,0.06467677878166711,0.38069620428044715,-0.14983227952846023
241,0.012371464123173803,0.17172387782709453,-0.15077600084625276
242,0.0796674824532313,0.4372097357346216,-0.14983227952846023
243,0.07665272637931908,0.4298159767024186,-0.17574997967265582
244,0.031874307240976396,0.25034910015281164,-0.19833954354039618
245,0.07853153167661975,0.4362414340254135,-0.14983227952846023
246,0.07345577026615291,0.41710543441207515,-0.15375782356680945
247,0.08656300277624052,0.4653083521411336,-0.1530138572314279
248,0.12340882020805988,0.6095093455383418,-0.14983227952846023
249,0.07450674718110495,0.4179151061329101,-0.14983227952846023
250,0.036667507037571934,0.2695111453819712,-0.16374282415362573
251,-0.021838056413788776,0.023221674430219257,-0.16727022318764828
252,0.013607033136881608,0.1753113774579488,-0.16099691597655363
253,0.004659061977527967,0.13740935613798486,-0.15187927121924616
254,-0.01755474965251902,0.0441448691246445,-0.14983227952846023
255,-0.03966265925382961,-0.06443143906600284,-0.15757683357233754
256,-0.06941300059811417,-0.2046054365398891,-0.1552411418279751
257,-0.12748641289325469,-0.4925020577315849,-0.2067749454966873
258,-0.1714405774535721,-0.7377932007267048,-0.24673053975871728
259,-0.13871624535177973,-0.5653060138809631,-0.21698336839128107
260,-0.09630194784512736,-0.3542220400469426,-0.17842773602049178
261,-0.0966428439874859,-0.355787341238087,-0.17873755239370126
262,-0.0959154550006509,-0.3504022168111478,-0.1768544179483842
263,-0.09512274517350883,-0.3622615569422097,-0.18913283783820278
264,-0.09391431360925573,-0.3632358123755295,-0.21039524578219326
265,-0.09423405301319043,-0.36541764012613515,-0.2244811910363056
266,-0.11284897784349068,-0.46371054196531303,-0.1926323785937506
267,-0.12959117587954616,-0.5864098651062972,-0.207418850388416
268,-0.10875190057568118,-0.4627024535274185,-0.2049265727620927
269,-0.09377190998955443,-0.38173885894443865,-0.1960512150110646
270,-0.14820002426944723,-0.7148749298613389,-0.2147827008418376
271,-0.15746962977548518,-0.7757019630991037,-0.22452325182228916
272,-0.1409633614056517,-0.6626340067622294,-0.19321102344895724
273,-0.1573033289723056,-0.7561382826079517,-0.17739139580486218
274,-0.14163065241365613,-0.6467536594196416,-0.1725647504725777
275,-0.1578866144758856,-0.7802785714197761,-0.17554438691637253
276,-0.15995637969985954,-0.7908517989629085,-0.16886728382753324
277,-0.12097026774277453,-0.6376563455700813,-0.1796885212879149
278,-0.11291609684540704,-0.6096440797219782,-0.20279313532393817
279,-0.04110588309619889,-0.156654340141256,-0.19148735761937064
