name,family,flow_window,trend_window,quantile,hold,matched_control,eligible,score,development_excess_cagr,validation_excess_cagr,development_excess_sharpe,validation_excess_sharpe,validation_total_cagr,validation_max_dd,validation_ann_turnover,validation_sharpe_add,validation_dd_reduction,validation_cagr_retention
extreme_inflow_q70_hold3_ma50,extreme_inflow_hold,,50.0,0.7,3.0,price_trend_ma50,True,-0.01819513682340579,0.03903802664633238,0.1341070254916663,0.2785839582235064,0.6820200577649912,0.18099023315409246,-0.1318321746593718,32.0,0.5079235689151144,0.0240488631057022,3.2839682134065473
flow_confirm_w10_ma100,flow_confirm,10.0,100.0,,,price_trend_ma100,True,-0.029541729183409027,0.20759039151023306,0.027718265460718206,0.6675186453292539,0.23324983526493223,0.07021573901973421,-0.14976682072679648,19.0,0.028349751336375156,0.02838807424990608,1.1316003910422177
flow_riskoff_w10_q20_ma50,flow_riskoff,10.0,50.0,0.2,,price_trend_ma50,True,-0.0676668909142133,0.30108373989745285,0.030636005702233238,0.8629774952469612,0.2463309088189723,0.07325300331978823,-0.14534072255220987,22.0,0.07223441996909544,0.010540315212864138,1.3291354469604948
extreme_inflow_q80_hold10_ma50,extreme_inflow_hold,,50.0,0.8,10.0,price_trend_ma50,True,-0.10122044393877394,0.3063517485177025,0.030962518626213686,0.8799642554016368,0.2470236634822166,0.07359326261033905,-0.13963941416549497,24.0,0.07292717463233975,0.016241623599579036,1.3353092646025428
extreme_inflow_q70_hold5,extreme_inflow_hold,,,0.7,5.0,buy_hold,True,-0.1076471810874689,0.3042277391252264,0.03440337984058006,0.8358424810590248,0.26328895555218845,0.0771762775524516,-0.2793656255145407,22.0,0.30726114392560233,0.0421041793316036,
extreme_inflow_q70_hold3,extreme_inflow_hold,,,0.7,3.0,buy_hold,True,-0.1493529155315051,0.17806798397259826,0.08729919613540105,0.6265712879886746,0.4382143460035731,0.13225376624655039,-0.19174689131532718,38.0,0.482186534376987,0.1297229135308171,
flow_riskoff_w10_q30_ma50,flow_riskoff,10.0,50.0,0.3,,price_trend_ma50,True,-0.16555456593212559,0.24369115889548087,0.02548232713464138,0.758675472764223,0.22449063041043085,0.06788665240955583,-0.13059665841307166,26.0,0.050394141560553996,0.02528437935200234,1.2317659618558228
extreme_outflow_reversal_q10_hold5,extreme_outflow_reversal,,,0.1,5.0,buy_hold,True,-0.2431715501193642,0.3851760094123782,0.015920107014538276,1.0741363330993063,0.19517744314609234,0.05793178319562031,-0.2349182367980731,25.0,0.23914963151950624,0.08655156804807118,
extreme_inflow_q80_hold10_ma20,extreme_inflow_hold,,20.0,0.8,10.0,price_trend_ma20,True,-0.29326380607412705,0.18182893234080888,0.012329372892885049,0.6514950109744122,0.16685788146942268,0.05419038926904163,-0.16960294854309255,27.0,0.8301553042955844,0.07610691001100689,
flow_confirm_w10_ma20,flow_confirm,10.0,20.0,,,price_trend_ma20,True,-0.3147909405618475,0.13208181960839704,0.004020325986491491,0.5218740048108607,0.12008803801029017,0.045539535673392084,-0.13374938090934896,26.0,0.7833854608364519,0.11196047764475048,
